"","participant","domain","Obj1","Obj2","Obj3","Obj4","Obj5","subset"
"51",2,24,"d","c","e","-","-","cde"
"52",2,28,"b","c","-","-","-","bc"
"53",2,21,"b","d","-","-","-","bd"
"54",2,14,"a","e","-","-","-","ae"
"55",2,30,"b","e","d","c","-","bcde"
"56",2,4,"c","a","b","-","-","abc"
"57",2,17,"d","b","a","-","-","abd"
"58",2,9,"b","d","-","-","-","bd"
"59",2,6,"d","a","-","-","-","ad"
"60",2,25,"a","d","b","-","-","abd"
"61",2,29,"c","b","e","-","-","bce"
"62",2,32,"a","e","-","-","-","ae"
"63",2,27,"d","c","e","-","-","cde"
"64",2,19,"a","d","-","-","-","ad"
"65",3,10,"e","b","c","a","-","abce"
"66",3,2,"d","a","c","e","-","acde"
"67",3,27,"d","e","c","b","-","bcde"
"68",3,20,"e","b","c","-","-","bce"
"69",3,18,"a","e","-","-","-","ae"
"70",3,19,"e","b","-","-","-","be"
"71",3,3,"e","d","-","-","-","de"
"72",3,32,"d","a","e","-","-","ade"
"73",3,14,"a","d","b","e","-","abde"
"74",3,26,"d","b","c","e","a","abcde"
"75",3,6,"b","c","a","d","-","abcd"
"76",3,21,"c","e","d","-","-","cde"
"77",3,24,"d","b","c","-","-","bcd"
"78",3,29,"a","c","b","e","-","abce"
"79",3,16,"d","e","-","-","-","de"
"80",3,7,"e","a","-","-","-","ae"
"81",3,9,"e","d","-","-","-","de"
"82",3,1,"d","a","c","-","-","acd"
"83",3,30,"c","b","-","-","-","bc"
"84",3,28,"a","b","-","-","-","ab"
"85",3,4,"c","a","d","e","-","acde"
"86",3,13,"c","e","b","-","-","bce"
"87",3,12,"d","c","-","-","-","cd"
"88",3,5,"c","b","e","-","-","bce"
"89",3,23,"b","d","e","-","-","bde"
"90",3,31,"b","c","d","e","a","abcde"
"91",3,11,"d","a","b","-","-","abd"
"92",3,8,"b","e","-","-","-","be"
"93",3,15,"a","c","-","-","-","ac"
"94",3,22,"c","d","-","-","-","cd"
"95",3,25,"c","b","-","-","-","bc"
"96",3,17,"a","d","e","b","-","abde"
"97",4,22,"d","c","-","-","-","cd"
"98",4,26,"a","d","e","-","-","ade"
"99",4,14,"a","d","-","-","-","ad"
"100",4,8,"b","e","c","-","-","bce"
"101",4,23,"b","e","-","-","-","be"
"102",4,30,"c","e","-","-","-","ce"
"103",4,15,"b","c","a","e","-","abce"
"104",4,16,"b","c","-","-","-","bc"
"105",4,19,"d","e","a","-","-","ade"
"106",4,13,"e","b","-","-","-","be"
"107",4,5,"a","b","e","-","-","abe"
"108",4,24,"a","b","-","-","-","ab"
"109",4,4,"c","e","d","-","-","cde"
"110",4,11,"a","e","b","-","-","abe"
"111",4,18,"c","a","b","d","-","abcd"
"112",4,31,"e","b","-","-","-","be"
"113",4,9,"c","d","-","-","-","cd"
"114",4,3,"a","b","c","-","-","abc"
"115",4,28,"a","e","-","-","-","ae"
"116",4,6,"a","e","c","b","-","abce"
"117",4,1,"e","d","a","c","-","acde"
"118",4,32,"b","c","-","-","-","bc"
"119",4,12,"b","d","-","-","-","bd"
"120",4,17,"e","c","a","-","-","ace"
"121",4,29,"e","b","-","-","-","be"
"122",4,20,"e","d","b","c","-","bcde"
"123",4,2,"c","a","e","-","-","ace"
"124",4,7,"a","d","e","-","-","ade"
"125",4,10,"c","e","a","-","-","ace"
"126",4,25,"b","c","-","-","-","bc"
"127",4,21,"e","b","-","-","-","be"
"128",4,27,"e","c","d","-","-","cde"
"129",5,10,"b","d","-","-","-","bd"
"130",5,32,"e","b","-","-","-","be"
"131",5,31,"c","d","-","-","-","cd"
"132",5,11,"e","d","b","-","-","bde"
"133",5,12,"b","d","-","-","-","bd"
"134",5,23,"a","c","b","-","-","abc"
"135",5,7,"b","e","a","-","-","abe"
"136",5,20,"a","b","d","c","-","abcd"
"137",5,15,"c","a","d","-","-","acd"
"138",5,14,"b","a","c","-","-","abc"
"139",5,27,"e","c","-","-","-","ce"
"140",5,19,"e","c","-","-","-","ce"
"141",5,6,"a","b","-","-","-","ab"
"142",5,21,"a","d","b","e","-","abde"
"143",5,25,"a","b","-","-","-","ab"
"144",5,30,"c","b","-","-","-","bc"
"145",5,9,"c","a","-","-","-","ac"
"146",5,29,"e","d","a","-","-","ade"
"147",5,8,"e","c","a","-","-","ace"
"148",5,28,"d","a","-","-","-","ad"
"149",5,18,"c","a","e","-","-","ace"
"150",5,2,"d","b","-","-","-","bd"
"151",5,3,"c","a","e","b","-","abce"
"152",5,5,"a","b","e","d","-","abde"
"153",5,1,"b","e","a","-","-","abe"
"154",5,16,"e","d","-","-","-","de"
"155",5,26,"e","d","b","a","-","abde"
"156",5,22,"c","d","b","a","-","abcd"
"157",5,4,"a","e","-","-","-","ae"
"158",5,17,"c","e","-","-","-","ce"
"159",5,24,"c","d","b","-","-","bcd"
"160",5,13,"b","e","-","-","-","be"
"161",6,2,"c","a","e","d","b","abcde"
"162",6,8,"c","a","b","-","-","abc"
"163",6,21,"d","e","-","-","-","de"
"164",6,7,"c","a","d","-","-","acd"
"165",6,20,"d","e","b","-","-","bde"
"166",6,6,"a","e","b","d","c","abcde"
"167",6,26,"d","a","b","-","-","abd"
"168",6,16,"e","b","-","-","-","be"
"169",6,22,"e","c","-","-","-","ce"
"170",6,23,"b","e","d","-","-","bde"
"171",6,14,"c","b","d","e","-","bcde"
"172",6,32,"e","a","-","-","-","ae"
"173",6,17,"e","a","-","-","-","ae"
"174",6,18,"c","a","d","-","-","acd"
"175",6,10,"a","d","c","-","-","acd"
"176",6,28,"c","e","b","d","-","bcde"
"177",6,29,"b","c","-","-","-","bc"
"178",6,4,"c","a","b","d","e","abcde"
"179",6,31,"d","a","e","c","-","acde"
"180",6,1,"d","a","b","e","-","abde"
"181",6,27,"c","b","e","-","-","bce"
"182",6,24,"b","d","a","e","-","abde"
"183",6,25,"c","a","d","-","-","acd"
"184",6,11,"c","d","-","-","-","cd"
"185",6,3,"d","b","-","-","-","bd"
"186",6,30,"d","e","b","-","-","bde"
"187",6,12,"d","e","a","c","-","acde"
"188",6,5,"e","a","b","-","-","abe"
"189",6,15,"b","c","-","-","-","bc"
"190",6,9,"c","b","-","-","-","bc"
"191",6,13,"d","b","-","-","-","bd"
"192",6,19,"e","c","a","-","-","ace"
"193",7,5,"c","e","b","-","-","bce"
"194",7,7,"e","a","-","-","-","ae"
"195",7,15,"c","b","-","-","-","bc"
"196",7,22,"c","a","b","-","-","abc"
"197",7,13,"b","e","a","d","c","abcde"
"198",7,2,"c","d","b","a","-","abcd"
"199",7,9,"a","d","b","c","-","abcd"
"200",7,8,"c","b","-","-","-","bc"
"201",7,24,"b","a","-","-","-","ab"
"202",7,6,"b","a","e","-","-","abe"
"203",7,16,"a","e","-","-","-","ae"
"204",7,4,"e","c","b","d","-","bcde"
"205",7,31,"b","a","e","-","-","abe"
"206",7,27,"e","b","d","c","a","abcde"
"207",7,32,"e","b","-","-","-","be"
"208",7,17,"c","e","b","-","-","bce"
"209",7,23,"a","d","-","-","-","ad"
"210",7,10,"e","d","-","-","-","de"
"211",7,18,"b","c","-","-","-","bc"
"212",7,26,"d","e","b","c","-","bcde"
"213",7,29,"d","c","e","b","-","bcde"
"214",7,30,"a","b","d","-","-","abd"
"215",7,12,"c","d","-","-","-","cd"
"216",7,19,"c","a","-","-","-","ac"
"217",7,11,"e","b","-","-","-","be"
"218",7,14,"d","b","-","-","-","bd"
"219",7,25,"e","d","b","-","-","bde"
"220",7,28,"b","e","c","-","-","bce"
"221",7,20,"b","d","c","-","-","bcd"
"222",7,21,"d","a","c","-","-","acd"
"223",7,3,"b","d","a","-","-","abd"
"224",7,1,"e","b","a","-","-","abe"
"225",8,20,"b","a","c","-","-","abc"
"226",8,31,"b","c","-","-","-","bc"
"227",8,19,"b","e","c","-","-","bce"
"228",8,13,"e","c","d","a","-","acde"
"229",8,30,"b","d","a","-","-","abd"
"230",8,9,"c","d","b","a","e","abcde"
"231",8,18,"e","a","-","-","-","ae"
"232",8,17,"a","c","d","-","-","acd"
"233",8,26,"d","e","b","-","-","bde"
"234",8,15,"a","d","c","-","-","acd"
"235",8,3,"a","e","-","-","-","ae"
"236",8,4,"e","a","-","-","-","ae"
"237",8,2,"b","d","-","-","-","bd"
"238",8,28,"d","c","-","-","-","cd"
"239",8,12,"b","c","d","-","-","bcd"
"240",8,14,"c","d","-","-","-","cd"
"241",8,7,"a","d","-","-","-","ad"
"242",8,5,"e","d","-","-","-","de"
"243",8,24,"e","c","b","a","-","abce"
"244",8,1,"c","d","b","a","-","abcd"
"245",8,23,"d","a","c","-","-","acd"
"246",8,22,"c","e","b","-","-","bce"
"247",8,32,"a","c","b","-","-","abc"
"248",8,16,"e","a","-","-","-","ae"
"249",8,8,"b","c","a","-","-","abc"
"250",8,25,"d","b","c","-","-","bcd"
"251",8,21,"a","b","d","e","-","abde"
"252",8,29,"d","e","-","-","-","de"
"253",8,11,"b","a","c","d","-","abcd"
"254",8,27,"b","c","-","-","-","bc"
"255",8,10,"a","c","b","e","-","abce"
"256",8,6,"c","a","d","-","-","acd"
"257",9,19,"b","e","a","-","-","abe"
"258",9,2,"c","b","-","-","-","bc"
"259",9,12,"d","b","a","-","-","abd"
"260",9,27,"d","a","b","-","-","abd"
"261",9,4,"d","c","-","-","-","cd"
"262",9,11,"d","e","-","-","-","de"
"263",9,6,"e","a","c","-","-","ace"
"264",9,9,"e","b","c","a","-","abce"
"265",9,13,"c","a","-","-","-","ac"
"266",9,32,"c","a","-","-","-","ac"
"267",9,15,"c","b","e","d","-","bcde"
"268",9,21,"c","b","a","-","-","abc"
"269",9,28,"c","d","e","a","-","acde"
"270",9,29,"e","b","d","a","-","abde"
"271",9,14,"d","a","c","-","-","acd"
"272",9,31,"c","b","-","-","-","bc"
"273",9,5,"c","b","e","-","-","bce"
"274",9,7,"e","d","a","c","-","acde"
"275",9,8,"c","d","b","-","-","bcd"
"276",9,16,"e","b","-","-","-","be"
"277",9,26,"d","a","e","c","-","acde"
"278",9,17,"c","a","-","-","-","ac"
"279",9,10,"d","b","-","-","-","bd"
"280",9,18,"c","d","a","b","e","abcde"
"281",9,20,"d","c","b","a","-","abcd"
"282",9,22,"d","a","e","-","-","ade"
"283",9,30,"d","c","b","-","-","bcd"
"284",9,25,"a","c","b","d","-","abcd"
"285",9,24,"e","c","-","-","-","ce"
"286",9,23,"b","e","-","-","-","be"
"287",9,1,"b","e","d","-","-","bde"
"288",9,3,"d","b","a","-","-","abd"
"289",10,17,"a","b","-","-","-","ab"
"290",10,6,"d","e","c","a","-","acde"
"291",10,5,"c","b","-","-","-","bc"
"292",10,2,"b","e","c","d","a","abcde"
"293",10,13,"b","c","-","-","-","bc"
"294",10,24,"d","e","-","-","-","de"
"295",10,18,"c","b","e","d","-","bcde"
"296",10,19,"c","e","d","-","-","cde"
"297",10,27,"b","e","c","a","-","abce"
"298",10,4,"c","d","-","-","-","cd"
"299",10,20,"c","a","b","-","-","abc"
"300",10,9,"c","d","-","-","-","cd"
"301",10,25,"a","d","-","-","-","ad"
"302",10,1,"c","e","-","-","-","ce"
"303",10,7,"b","c","e","a","-","abce"
"304",10,10,"a","b","-","-","-","ab"
"305",10,12,"a","e","d","-","-","ade"
"306",10,23,"c","a","d","-","-","acd"
"307",10,31,"c","e","a","-","-","ace"
"308",10,14,"b","e","c","-","-","bce"
"309",10,21,"e","b","d","a","-","abde"
"310",10,3,"a","b","-","-","-","ab"
"311",10,16,"e","d","a","b","-","abde"
"312",10,8,"a","b","e","-","-","abe"
"313",10,15,"b","e","d","-","-","bde"
"314",10,29,"a","e","-","-","-","ae"
"315",10,30,"b","c","-","-","-","bc"
"316",10,22,"a","e","d","-","-","ade"
"317",10,26,"c","b","e","d","-","bcde"
"318",10,28,"d","b","a","-","-","abd"
"319",10,11,"c","b","a","e","-","abce"
"320",10,32,"b","e","d","-","-","bde"
"321",11,28,"a","b","c","-","-","abc"
"322",11,16,"e","d","-","-","-","de"
"323",11,3,"c","d","-","-","-","cd"
"324",11,31,"c","e","b","-","-","bce"
"325",11,7,"c","e","-","-","-","ce"
"326",11,20,"a","b","e","-","-","abe"
"327",11,23,"a","d","-","-","-","ad"
"328",11,19,"a","c","e","-","-","ace"
"329",11,21,"c","e","-","-","-","ce"
"330",11,8,"a","b","-","-","-","ab"
"331",11,1,"e","a","b","-","-","abe"
"332",11,22,"c","d","-","-","-","cd"
"333",11,2,"a","d","b","c","-","abcd"
"334",11,10,"d","c","-","-","-","cd"
"335",11,26,"e","c","-","-","-","ce"
"336",11,6,"e","b","c","-","-","bce"
"337",11,25,"d","c","a","-","-","acd"
"338",11,9,"e","b","-","-","-","be"
"339",11,17,"e","d","-","-","-","de"
"340",11,32,"e","d","-","-","-","de"
"341",11,4,"b","d","-","-","-","bd"
"342",11,24,"b","d","c","-","-","bcd"
"343",11,11,"a","e","d","b","-","abde"
"344",11,30,"d","e","c","-","-","cde"
"345",11,14,"d","c","a","-","-","acd"
"346",11,13,"e","d","a","b","c","abcde"
"347",11,29,"c","d","-","-","-","cd"
"348",11,18,"b","a","-","-","-","ab"
"349",11,12,"a","c","-","-","-","ac"
"350",11,5,"b","d","e","-","-","bde"
"351",11,27,"a","c","e","-","-","ace"
"352",11,15,"c","a","d","-","-","acd"
"353",12,8,"e","d","b","-","-","bde"
"354",12,12,"d","c","-","-","-","cd"
"355",12,28,"b","e","c","a","-","abce"
"356",12,5,"d","b","-","-","-","bd"
"357",12,7,"d","c","a","-","-","acd"
"358",12,1,"b","e","-","-","-","be"
"359",12,23,"e","b","c","a","-","abce"
"360",12,18,"d","e","-","-","-","de"
"361",12,2,"a","e","c","d","-","acde"
"362",12,11,"b","e","d","-","-","bde"
"363",12,9,"c","d","-","-","-","cd"
"364",12,29,"a","d","-","-","-","ad"
"365",12,31,"a","c","-","-","-","ac"
"366",12,4,"e","c","b","-","-","bce"
"367",12,24,"b","c","-","-","-","bc"
"368",12,14,"d","a","e","b","-","abde"
"369",12,16,"a","c","-","-","-","ac"
"370",12,17,"a","d","c","-","-","acd"
"371",12,3,"a","d","c","b","-","abcd"
"372",12,10,"a","b","-","-","-","ab"
"373",12,20,"e","c","-","-","-","ce"
"374",12,25,"a","d","c","-","-","acd"
"375",12,19,"e","c","-","-","-","ce"
"376",12,22,"d","c","e","-","-","cde"
"377",12,27,"c","e","b","d","-","bcde"
"378",12,26,"a","e","d","c","-","acde"
"379",12,13,"a","b","e","c","-","abce"
"380",12,21,"e","d","a","c","-","acde"
"381",12,6,"d","e","a","b","-","abde"
"382",12,30,"a","e","-","-","-","ae"
"383",12,32,"a","e","-","-","-","ae"
"384",12,15,"b","e","a","d","c","abcde"
"385",13,9,"b","d","e","c","-","bcde"
"386",13,26,"b","c","-","-","-","bc"
"387",13,14,"e","a","-","-","-","ae"
"388",13,1,"a","d","-","-","-","ad"
"389",13,20,"a","b","-","-","-","ab"
"390",13,28,"b","c","d","e","a","abcde"
"391",13,30,"a","e","-","-","-","ae"
"392",13,27,"d","e","b","c","a","abcde"
"393",13,15,"b","a","-","-","-","ab"
"394",13,7,"e","d","b","a","-","abde"
"395",13,13,"d","b","a","-","-","abd"
"396",13,11,"e","d","-","-","-","de"
"397",13,24,"c","b","-","-","-","bc"
"398",13,8,"b","c","e","-","-","bce"
"399",13,25,"c","d","-","-","-","cd"
"400",13,16,"d","e","b","-","-","bde"
"401",13,5,"e","a","c","-","-","ace"
"402",13,12,"b","c","e","-","-","bce"
"403",13,32,"c","a","e","-","-","ace"
"404",13,22,"a","e","-","-","-","ae"
"405",13,17,"b","a","d","-","-","abd"
"406",13,10,"b","d","-","-","-","bd"
"407",13,3,"b","e","d","-","-","bde"
"408",13,23,"e","d","a","c","-","acde"
"409",13,2,"b","c","e","-","-","bce"
"410",13,6,"e","c","d","b","a","abcde"
"411",13,18,"e","c","-","-","-","ce"
"412",13,29,"c","a","e","-","-","ace"
"413",13,21,"b","c","e","a","-","abce"
"414",13,4,"d","c","e","b","-","bcde"
"415",13,19,"b","c","a","d","-","abcd"
"416",13,31,"d","a","e","-","-","ade"
"417",14,18,"d","a","e","-","-","ade"
"418",14,1,"a","b","-","-","-","ab"
"419",14,7,"a","b","e","c","-","abce"
"420",14,28,"a","d","-","-","-","ad"
"421",14,2,"e","b","a","d","-","abde"
"422",14,16,"a","d","-","-","-","ad"
"423",14,14,"a","c","d","-","-","acd"
"424",14,22,"d","b","c","-","-","bcd"
"425",14,13,"c","d","a","-","-","acd"
"426",14,11,"c","a","-","-","-","ac"
"427",14,3,"b","d","c","-","-","bcd"
"428",14,27,"d","c","-","-","-","cd"
"429",14,9,"e","c","d","-","-","cde"
"430",14,4,"a","c","b","d","-","abcd"
"431",14,21,"c","b","e","-","-","bce"
"432",14,6,"c","a","d","-","-","acd"
"433",14,24,"a","d","c","-","-","acd"
"434",14,30,"d","a","-","-","-","ad"
"435",14,26,"c","d","b","-","-","bcd"
"436",14,15,"a","e","-","-","-","ae"
"437",14,8,"b","c","e","-","-","bce"
"438",14,23,"e","d","b","a","-","abde"
"439",14,29,"c","d","b","e","-","bcde"
"440",14,32,"e","d","-","-","-","de"
"441",14,31,"a","b","c","-","-","abc"
"442",14,5,"a","b","e","d","c","abcde"
"443",14,19,"e","a","b","d","-","abde"
"444",14,10,"c","e","d","-","-","cde"
"445",14,12,"c","b","e","-","-","bce"
"446",14,20,"b","c","d","-","-","bcd"
"447",14,25,"c","b","a","d","-","abcd"
"448",14,17,"a","c","e","-","-","ace"
"449",15,17,"a","e","-","-","-","ae"
"450",15,13,"c","a","-","-","-","ac"
"451",15,9,"a","c","d","e","-","acde"
"452",15,5,"a","d","-","-","-","ad"
"453",15,19,"b","a","-","-","-","ab"
"454",15,20,"a","c","-","-","-","ac"
"455",15,18,"b","a","-","-","-","ab"
"456",15,29,"c","a","e","-","-","ace"
"457",15,12,"b","e","-","-","-","be"
"458",15,3,"b","c","-","-","-","bc"
"459",15,16,"b","e","a","-","-","abe"
"460",15,14,"b","c","d","-","-","bcd"
"461",15,11,"a","c","b","-","-","abc"
"462",15,28,"e","d","a","-","-","ade"
"463",15,2,"e","b","d","-","-","bde"
"464",15,23,"d","c","e","-","-","cde"
"465",15,27,"a","d","-","-","-","ad"
"466",15,22,"b","e","-","-","-","be"
"467",15,1,"d","e","a","-","-","ade"
"468",15,4,"e","b","a","-","-","abe"
"469",15,10,"a","d","e","c","-","acde"
"470",15,30,"e","c","d","-","-","cde"
"471",15,7,"c","b","e","-","-","bce"
"472",15,21,"e","b","-","-","-","be"
"473",15,32,"c","e","a","d","-","acde"
"474",15,24,"b","a","-","-","-","ab"
"475",15,6,"c","d","e","-","-","cde"
"476",15,15,"a","c","e","-","-","ace"
"477",15,26,"a","e","b","-","-","abe"
"478",15,31,"e","c","b","d","a","abcde"
"479",15,25,"c","b","a","d","-","abcd"
"480",15,8,"a","b","c","-","-","abc"
"481",16,28,"d","b","a","e","-","abde"
"482",16,10,"e","d","c","-","-","cde"
"483",16,17,"c","a","d","-","-","acd"
"484",16,2,"e","b","a","-","-","abe"
"485",16,31,"a","b","e","-","-","abe"
"486",16,20,"c","a","-","-","-","ac"
"487",16,15,"d","e","a","-","-","ade"
"488",16,12,"e","c","d","-","-","cde"
"489",16,30,"a","b","-","-","-","ab"
"490",16,5,"b","e","d","-","-","bde"
"491",16,24,"d","a","e","-","-","ade"
"492",16,4,"b","d","c","-","-","bcd"
"493",16,25,"a","e","c","-","-","ace"
"494",16,14,"a","e","d","c","-","acde"
"495",16,19,"a","c","d","-","-","acd"
"496",16,11,"a","c","b","-","-","abc"
"497",16,9,"e","a","-","-","-","ae"
"498",16,16,"b","e","a","c","-","abce"
"499",16,23,"b","d","a","e","-","abde"
"500",16,1,"e","c","d","-","-","cde"
"501",16,7,"e","d","b","-","-","bde"
"502",16,3,"d","a","-","-","-","ad"
"503",16,32,"a","e","d","c","-","acde"
"504",16,27,"c","d","e","a","-","acde"
"505",16,29,"b","d","a","-","-","abd"
"506",16,26,"d","b","a","c","-","abcd"
"507",16,8,"b","e","c","d","-","bcde"
"508",16,6,"e","c","-","-","-","ce"
"509",16,18,"d","b","a","-","-","abd"
"510",16,21,"c","d","e","-","-","cde"
"511",16,13,"d","c","-","-","-","cd"
"512",16,22,"e","a","-","-","-","ae"
"513",17,19,"c","b","d","-","-","bcd"
"514",17,29,"c","b","a","e","-","abce"
"515",17,31,"a","e","-","-","-","ae"
"516",17,20,"a","b","-","-","-","ab"
"517",17,7,"c","d","b","e","-","bcde"
"518",17,3,"b","d","-","-","-","bd"
"519",17,2,"a","b","e","-","-","abe"
"520",17,25,"a","e","b","d","-","abde"
"521",17,21,"e","a","-","-","-","ae"
"522",17,17,"b","c","d","-","-","bcd"
"523",17,1,"e","c","b","a","-","abce"
"524",17,9,"a","d","-","-","-","ad"
"525",17,16,"a","e","-","-","-","ae"
"526",17,18,"b","d","c","-","-","bcd"
"527",17,32,"e","a","-","-","-","ae"
"528",17,8,"b","a","d","c","-","abcd"
"529",17,6,"b","a","d","e","-","abde"
"530",17,11,"d","c","-","-","-","cd"
"531",17,23,"a","e","b","-","-","abe"
"532",17,15,"b","d","-","-","-","bd"
"533",17,24,"a","c","b","-","-","abc"
"534",17,26,"a","e","d","-","-","ade"
"535",17,5,"b","d","-","-","-","bd"
"536",17,4,"a","b","e","c","-","abce"
"537",17,13,"b","c","a","-","-","abc"
"538",17,27,"d","b","-","-","-","bd"
"539",17,22,"b","a","e","-","-","abe"
"540",17,28,"c","b","-","-","-","bc"
"541",17,14,"e","b","d","c","a","abcde"
"542",17,30,"c","b","-","-","-","bc"
"543",17,10,"b","d","a","-","-","abd"
"544",17,12,"b","d","a","-","-","abd"
"545",18,19,"a","d","-","-","-","ad"
"546",18,12,"b","c","-","-","-","bc"
"547",18,27,"c","b","-","-","-","bc"
"548",18,32,"b","d","a","e","-","abde"
"549",18,5,"a","d","b","e","-","abde"
"550",18,23,"d","e","-","-","-","de"
"551",18,24,"d","a","-","-","-","ad"
"552",18,6,"a","c","-","-","-","ac"
"553",18,4,"c","a","e","-","-","ace"
"554",18,18,"d","a","b","-","-","abd"
"555",18,2,"d","e","a","-","-","ade"
"556",18,13,"b","c","-","-","-","bc"
"557",18,15,"c","a","b","d","-","abcd"
"558",18,11,"b","e","d","a","-","abde"
"559",18,25,"a","c","-","-","-","ac"
"560",18,26,"d","e","-","-","-","de"
"561",18,29,"b","c","e","-","-","bce"
"562",18,28,"b","e","c","a","-","abce"
"563",18,3,"e","a","-","-","-","ae"
"564",18,20,"d","a","-","-","-","ad"
"565",18,16,"a","d","e","-","-","ade"
"566",18,1,"c","a","b","-","-","abc"
"567",18,7,"b","c","-","-","-","bc"
"568",18,22,"c","b","-","-","-","bc"
"569",18,21,"b","e","c","-","-","bce"
"570",18,14,"a","b","c","-","-","abc"
"571",18,17,"a","e","d","c","-","acde"
"572",18,31,"b","c","d","a","-","abcd"
"573",18,10,"c","e","-","-","-","ce"
"574",18,9,"b","d","e","-","-","bde"
"575",18,8,"b","d","-","-","-","bd"
"576",18,30,"e","c","b","-","-","bce"
"577",19,5,"e","b","d","-","-","bde"
"578",19,20,"a","b","d","-","-","abd"
"579",19,13,"a","c","e","-","-","ace"
"580",19,28,"a","b","-","-","-","ab"
"581",19,15,"d","e","a","-","-","ade"
"582",19,25,"a","b","c","d","-","abcd"
"583",19,27,"e","b","-","-","-","be"
"584",19,30,"b","e","d","a","-","abde"
"585",19,24,"e","c","-","-","-","ce"
"586",19,10,"a","d","-","-","-","ad"
"587",19,21,"d","a","c","b","-","abcd"
"588",19,8,"c","a","-","-","-","ac"
"589",19,32,"d","a","-","-","-","ad"
"590",19,17,"d","a","b","-","-","abd"
"591",19,22,"c","d","a","b","-","abcd"
"592",19,19,"a","e","d","-","-","ade"
"593",19,16,"a","b","c","-","-","abc"
"594",19,29,"b","e","-","-","-","be"
"595",19,2,"a","c","-","-","-","ac"
"596",19,4,"c","b","a","-","-","abc"
"597",19,12,"e","b","c","-","-","bce"
"598",19,23,"e","b","-","-","-","be"
"599",19,18,"b","a","-","-","-","ab"
"600",19,6,"a","b","-","-","-","ab"
"601",19,9,"b","e","d","-","-","bde"
"602",19,14,"c","e","-","-","-","ce"
"603",19,3,"c","b","d","-","-","bcd"
"604",19,7,"d","e","-","-","-","de"
"605",19,1,"d","e","a","-","-","ade"
"606",19,26,"e","d","-","-","-","de"
"607",19,11,"c","e","b","-","-","bce"
"608",19,31,"c","d","b","-","-","bcd"
"609",20,10,"a","e","-","-","-","ae"
"610",20,26,"a","d","b","c","-","abcd"
"611",20,6,"b","e","-","-","-","be"
"612",20,31,"a","d","-","-","-","ad"
"613",20,32,"c","e","d","-","-","cde"
"614",20,2,"d","a","e","c","-","acde"
"615",20,5,"a","d","-","-","-","ad"
"616",20,25,"e","a","c","-","-","ace"
"617",20,13,"e","a","d","b","c","abcde"
"618",20,4,"d","b","c","e","-","bcde"
"619",20,1,"c","b","-","-","-","bc"
"620",20,28,"c","d","a","-","-","acd"
"621",20,21,"e","b","d","-","-","bde"
"622",20,23,"b","a","d","c","-","abcd"
"623",20,20,"e","d","b","-","-","bde"
"624",20,3,"e","b","-","-","-","be"
"625",20,15,"c","a","b","-","-","abc"
"626",20,14,"d","e","c","-","-","cde"
"627",20,22,"d","a","b","-","-","abd"
"628",20,24,"d","a","b","e","-","abde"
"629",20,7,"a","d","e","b","-","abde"
"630",20,9,"c","a","d","-","-","acd"
"631",20,30,"d","c","-","-","-","cd"
